algorithm,volume,density,radius,points,consctruction_time,data_size,query_pairs_time,filtering_time,total_time,min_memory,max_memory,type,seed
find_neighbors,0.5,100,1,36291,0.2846570015,304776,0.01422047615,0.01023483276,0.3845112324,507.53125,510.5195313,volume,1
find_neighbors,0.5,100,1,36291,0.2858643532,304776,0.01382899284,0.009991168976,0.3542904854,510.5351563,510.8125,volume,1
find_neighbors,0.5,100,1,36291,0.2871468067,304776,0.01432013512,0.01016044617,0.3585882187,510.8125,510.8125,volume,1
find_neighbors,0.5,100,1,36291,0.285777092,304776,0.01383876801,0.009811639786,0.3554494381,510.8125,510.8125,volume,1
find_neighbors,0.5,100,1,36291,0.2895908356,304776,0.01429653168,0.009849071503,0.3591895103,510.8125,510.8125,volume,1
find_neighbors,0.5,100,1,36291,0.2873997688,304776,0.01398515701,0.00989818573,0.3556461334,510.8125,510.8125,volume,1
find_neighbors,0.5,100,1,36291,0.2863864899,304776,0.01412701607,0.01014280319,0.3558571339,510.8125,510.8125,volume,1
find_neighbors,0.5,100,1,36291,0.2899029255,304776,0.01379227638,0.009855985641,0.3582844734,510.8125,510.8125,volume,1
find_neighbors,0.5,100,1,36291,0.2914209366,304776,0.0140850544,0.009964704514,0.3629798889,510.8125,510.8125,volume,1
find_neighbors,0.5,100,1,36291,0.2850995064,304776,0.01396679878,0.01014113426,0.3538677692,510.8125,510.8125,volume,1
find_neighbors,0.7,100,1,149567,1.206795931,1253088,0.07151150703,0.08743023872,1.42014575,535.8515625,546.6875,volume,1
find_neighbors,0.7,100,1,149567,1.18935585,1253088,0.0708155632,0.08553481102,1.400535583,541.1875,549.0625,volume,1
find_neighbors,0.7,100,1,149567,1.197188616,1253088,0.06936430931,0.08719277382,1.416330338,539.1601563,549.0898438,volume,1
find_neighbors,0.7,100,1,149567,1.190357685,1253088,0.06823682785,0.08843374252,1.401000977,542.5859375,549.0742188,volume,1
find_neighbors,0.7,100,1,149567,1.190880299,1253088,0.07069158554,0.08688998222,1.404903889,542.5859375,549.0898438,volume,1
find_neighbors,0.7,100,1,149567,1.193248272,1253088,0.06918668747,0.08537340164,1.404481173,539.1601563,548.3046875,volume,1
find_neighbors,0.7,100,1,149567,1.195228815,1253088,0.07064962387,0.08589816093,1.407602787,540.3554688,549.1132813,volume,1
find_neighbors,0.7,100,1,149567,1.192662239,1253088,0.07046747208,0.08832931519,1.406736851,538.015625,549.078125,volume,1
find_neighbors,0.7,100,1,149567,1.201420069,1253088,0.07039833069,0.08848047256,1.416457891,538.015625,549.0898438,volume,1
find_neighbors,0.7,100,1,149567,1.196062088,1253088,0.07053947449,0.08904027939,1.412106037,538.015625,549.078125,volume,1
find_neighbors,0.9,100,1,281554,2.26196003,2258248,0.1467459202,0.3174510002,2.797970772,572.8398438,602.8867188,volume,1
find_neighbors,0.9,100,1,281554,2.263834,2258248,0.1462571621,0.314684391,2.807710886,591.4140625,602.8984375,volume,1
find_neighbors,0.9,100,1,281554,2.256456852,2258248,0.145886898,0.3246896267,2.79953146,580.6757813,602.890625,volume,1
find_neighbors,0.9,100,1,281554,2.257380486,2258248,0.1445393562,0.3145980835,2.789663792,580.6757813,602.8867188,volume,1
find_neighbors,0.9,100,1,281554,2.262146235,2258248,0.1444277763,0.3194642067,2.800979614,580.9257813,602.9101563,volume,1
find_neighbors,0.9,100,1,281554,2.274332523,2258248,0.1452338696,1.046230793,3.541924,580.9257813,602.8554688,volume,1
find_neighbors,0.9,100,1,281554,2.260779619,2258248,0.1460340023,0.3196172714,2.81513834,581.1210938,602.859375,volume,1
find_neighbors,0.9,100,1,281554,2.252532482,2258248,0.1446809769,0.3149597645,2.78842926,581.1210938,602.8632813,volume,1
find_neighbors,0.9,100,1,281554,2.248068571,2258248,0.1399264336,0.3176932335,2.78511405,581.125,602.8398438,volume,1
find_neighbors,0.9,100,1,281554,2.249786139,2258248,0.1457593441,0.3160262108,2.790935993,581.125,602.8320313,volume,1
find_neighbors,1.1,100,1,545013,4.342065096,4578296,0.3742685318,1.184104204,6.04114151,620.546875,700.4140625,volume,1
find_neighbors,1.1,100,1,545013,4.349062681,4578296,0.3688511848,1.176609993,6.032585144,661.0664063,700.5,volume,1
find_neighbors,1.1,100,1,545013,4.364772558,4578296,0.3708868027,1.182886362,6.052414179,658.0664063,703.3085938,volume,1
find_neighbors,1.1,100,1,545013,4.378035069,4578296,0.368386507,1.799307346,6.681988239,658.0703125,703.2460938,volume,1
find_neighbors,1.1,100,1,545013,4.360976934,4578296,0.3709278107,1.205267429,6.090002537,658.0625,703.2460938,volume,1
find_neighbors,1.1,100,1,545013,4.363252163,4578296,0.369330883,1.207735538,6.077082872,658.3164063,703.2382813,volume,1
find_neighbors,1.1,100,1,545013,4.359916687,4578296,0.3684134483,1.209059715,6.075472593,658.3164063,703.2421875,volume,1
find_neighbors,1.1,100,1,545013,4.359592915,4578296,0.3689274788,1.185472965,6.053882599,658.0664063,703.3085938,volume,1
find_neighbors,1.1,100,1,545013,4.358851194,4578296,0.3703234196,1.183008432,6.048028469,658.3164063,703.3085938,volume,1
find_neighbors,1.1,100,1,545013,4.34796834,4578296,0.3690071106,1.199150324,6.057205915,658.0664063,703.3085938,volume,1
find_neighbors,1.3,100,1,936283,7.505074024,8250368,0.8961441517,4.351861954,13.06367755,663.6171875,880.6523438,volume,1
find_neighbors,1.3,100,1,936283,7.471827745,8250368,0.8674128056,4.407046795,13.07487726,806.9453125,907.4570313,volume,1
find_neighbors,1.3,100,1,936283,7.468693495,8250368,0.8518564701,4.455369473,13.11512589,764.2617188,907.6289063,volume,1
find_neighbors,1.3,100,1,936283,7.494733095,8250368,0.8669521809,5.035827398,13.73420048,763.2617188,907.5664063,volume,1
find_neighbors,1.3,100,1,936283,7.518473387,8250368,0.8724832535,4.330024719,13.05954671,764.7617188,907.515625,volume,1
find_neighbors,1.3,100,1,936283,7.458304167,8250368,0.8736155033,4.384993553,13.04490852,763.5117188,907.5273438,volume,1
find_neighbors,1.3,100,1,936283,7.457509518,8250368,0.8710496426,4.365028858,13.01846194,763.5117188,907.5507813,volume,1
find_neighbors,1.3,100,1,936283,7.445126295,8250368,0.8719449043,4.523885727,13.16884995,814.4023438,908.0195313,volume,1
find_neighbors,1.3,100,1,936283,7.455868959,8250368,0.8657698631,5.064846277,13.7150619,815.5585938,907.9453125,volume,1
find_neighbors,1.3,100,1,936283,7.443745136,8250368,0.8482596874,4.361361504,12.99184465,816.5820313,907.6445313,volume,1
find_neighbors,1.5,100,1,1390527,11.25545669,11747184,1.318906784,7.528979301,20.64401674,770.3867188,1073.578125,volume,1
find_neighbors,1.5,100,1,1390527,11.19463944,11747184,1.283316851,7.546385288,20.59144711,930.9609375,1090.195313,volume,1
find_neighbors,1.5,100,1,1390527,11.20280433,11747184,1.292401314,8.176519156,21.23448682,879.7109375,1116.621094,volume,1
find_neighbors,1.5,100,1,1390527,11.19009733,11747184,1.285934448,7.591197491,20.6405859,879.7109375,1087.851563,volume,1
find_neighbors,1.5,100,1,1390527,11.21920776,11747184,1.289276361,7.523944855,20.59598422,878.7148438,1106.308594,volume,1
find_neighbors,1.5,100,1,1390527,11.20651007,11747184,1.295591116,8.203845978,21.27862549,879.7148438,1113.355469,volume,1
find_neighbors,1.5,100,1,1390527,11.17911363,11747184,1.288273096,7.545943737,20.58694839,878.7109375,1088.035156,volume,1
find_neighbors,1.5,100,1,1390527,11.17805076,11747184,1.302544832,7.349520445,20.40441871,880.7148438,1087.929688,volume,1
find_neighbors,1.5,100,1,1390527,11.18106389,11747184,1.28631568,8.188549757,21.22433376,879.9648438,1087.925781,volume,1
find_neighbors,1.5,100,1,1390527,11.21018028,11747184,1.291555166,7.397531509,20.47438145,877.9609375,1112,volume,1
find_neighbors,1.7,100,1,1960919,15.72079587,16726032,2.573605299,10.40847468,29.81921768,862.8476563,1431.722656,volume,1
find_neighbors,1.7,100,1,1960919,15.76916122,16726032,2.516088963,11.41971183,30.82005143,1041.789063,1439.570313,volume,1
find_neighbors,1.7,100,1,1960919,15.77712035,16726032,2.532999277,10.4834094,29.92162275,1043.292969,1425.820313,volume,1
find_neighbors,1.7,100,1,1960919,15.70482922,16726032,2.516335011,11.66706085,31.02091241,1124.828125,1451.160156,volume,1
find_neighbors,1.7,100,1,1960919,15.72941136,16726032,2.480961323,10.492383,29.83105516,1066.53125,1428.472656,volume,1
find_neighbors,1.7,100,1,1960919,15.77480364,16726032,2.520310402,11.63773823,31.05880141,1045.546875,1431.679688,volume,1
find_neighbors,1.7,100,1,1960919,15.8213439,16726032,2.532440662,10.52449846,30.01673746,1043.800781,1454.984375,volume,1
find_neighbors,1.7,100,1,1960919,15.74085236,16726032,2.518307686,11.46287274,30.84361482,1043.050781,1441.210938,volume,1
find_neighbors,1.7,100,1,1960919,15.83255792,16726032,2.532694101,10.87615633,30.36558032,1042.800781,1447.339844,volume,1
find_neighbors,1.7,100,1,1960919,15.72565937,16726032,2.526189566,11.64681458,31.02386045,1042.050781,1441.765625,volume,1
find_neighbors,1.9,100,1,2919219,23.62226725,23815064,4.583055019,15.62147808,46.20266104,956.890625,2120.527344,volume,1
find_neighbors,1.9,100,1,2919219,23.63888335,23815064,4.540923357,17.86675501,48.47021461,1261.214844,2122.558594,volume,1
find_neighbors,1.9,100,1,2919219,23.58720422,23815064,4.481176853,15.68288898,46.18438792,1261.476563,2125.625,volume,1
find_neighbors,1.9,100,1,2919219,23.57510328,23815064,4.479460478,17.44280028,47.9568305,1264.488281,2096.609375,volume,1
find_neighbors,1.9,100,1,2919219,23.60184002,23815064,4.461647749,17.83021331,48.33367991,1263.230469,2096.050781,volume,1
find_neighbors,1.9,100,1,2919219,23.55314684,23815064,4.476682186,15.68902183,46.16734219,1269.988281,2118.1875,volume,1
find_neighbors,1.9,100,1,2919219,23.78579855,23815064,4.465716839,17.37074137,48.02897811,1265.742188,2099.242188,volume,1
find_neighbors,1.9,100,1,2919219,23.51393986,23815064,4.464993954,15.6771524,46.08394933,1267.988281,2121.628906,volume,1
find_neighbors,1.9,100,1,2919219,23.53768206,23815064,4.458963871,17.60080862,48.00881362,1260.242188,2120.804688,volume,1
find_neighbors,1.9,100,1,2919219,23.61660314,23815064,4.454732418,17.39739609,47.90029454,1265.238281,2124.351563,volume,1
find_neighbors,2.1,100,1,3882793,31.47109461,33908624,8.834185362,20.9622407,66.65976167,989.9257813,3341.113281,volume,1
find_neighbors,2.1,100,1,3882793,31.4150517,33908624,8.861032486,24.04177475,69.83155942,1391.558594,3341.121094,volume,1
find_neighbors,2.1,100,1,3882793,31.49794507,33908624,8.81856513,23.94807911,69.809443,1394.566406,3341.136719,volume,1
find_neighbors,2.1,100,1,3882793,31.48614645,33908624,8.787463188,23.86503243,69.68772531,1393.082031,3341.128906,volume,1
find_neighbors,2.1,100,1,3882793,31.50526071,33908624,8.934480906,23.30690765,69.29621983,1392.324219,3341.136719,volume,1
find_neighbors,2.1,100,1,3882793,31.38546109,33908624,8.857011795,21.47222972,67.24446964,1390.332031,3341.136719,volume,1
find_neighbors,2.1,100,1,3882793,31.44599509,33908624,8.843526363,23.90275455,69.69240046,1393.582031,3341.136719,volume,1
find_neighbors,2.1,100,1,3882793,31.41394448,33908624,8.905698776,23.33030963,69.18406367,1395.582031,3341.132813,volume,1
find_neighbors,2.1,100,1,3882793,31.41546321,33908624,8.793869972,24.46226716,70.19088197,1393.578125,3341.136719,volume,1
find_neighbors,2.1,100,1,3882793,31.40288544,33908624,8.834617615,23.84946918,69.61799049,1393.582031,3341.136719,volume,1
find_neighbors,2.3,100,1,5164941,41.98381352,42915648,13.91551208,35.14470506,101.6228676,1391.585938,4610.953125,volume,1
find_neighbors,2.3,100,1,5164941,41.92849135,42915648,13.76393867,27.78383732,94.20803356,1647.800781,4612.988281,volume,1
find_neighbors,2.3,100,1,5164941,42.00493264,42915648,13.71583104,35.64327359,102.1862373,1653.316406,4608.339844,volume,1
find_neighbors,2.3,100,1,5164941,42.01905227,42915648,13.62373424,27.80605388,94.27370763,1653.328125,4624.691406,volume,1
find_neighbors,2.3,100,1,5164941,41.99826074,42915648,13.60055017,31.54490066,97.87607408,1649.320313,4613.84375,volume,1
find_neighbors,2.3,100,1,5164941,42.12767363,42915648,13.71793509,35.75288153,102.2704849,1652.332031,4627.4375,volume,1
find_neighbors,2.3,100,1,5164941,42.0552187,42915648,13.77090573,28.53082609,95.09325337,1650.824219,4630.09375,volume,1
find_neighbors,2.3,100,1,5164941,42.05447555,42915648,13.74961615,35.63339591,102.226347,1649.589844,4609.242188,volume,1
find_neighbors,2.3,100,1,5164941,42.25096011,42915648,13.7149508,32.32316089,99.08894038,1650.082031,4621.910156,volume,1
find_neighbors,2.3,100,1,5164941,42.00690365,42915648,13.70040512,28.42989278,94.84005737,1653.835938,4613.839844,volume,1
find_neighbors,2.5,100,1,6512680,53.86713243,54315168,23.85662961,41.59579635,139.8728025,1275.441406,6944.253906,volume,1
find_neighbors,2.5,100,1,6512680,53.82335997,54315168,23.36675215,42.74609447,140.4362273,1695.355469,6926.78125,volume,1
find_neighbors,2.5,100,1,6512680,53.86104202,54315168,23.40053606,42.49148679,140.0864506,1696.003906,6934.472656,volume,1
find_neighbors,2.5,100,1,6512680,53.9055357,54315168,23.38190103,47.71282697,146.1648512,1698.519531,6943.90625,volume,1
find_neighbors,2.5,100,1,6512680,53.89137769,54315168,23.40765476,42.36748624,140.132416,1699.507813,6928.304688,volume,1
